"","PS.rep1","PS.rep2","PS.rep3","RS.rep1","RS.rep2","RS.rep3"
"LINC02073",1.60283691180354,4.22871096524437,4.46054599794141,2.3277419671383,4.03307054443171,3.75159225969593
"LINC02075",0.648097244201634,0.572022335914341,0.666662075223908,0.439514632172406,0.731101544479644,0.833075477142599
"LINC02076",5.57595365487649,5.33509017143307,5.44372598712235,4.87161204977422,4.62449866323829,4.38797594185008
"LINC02077",0.404592538801953,0.970986140658736,1.47972207011429,1.95732403115597,1.7743674971367,2.81629454784617
"LINC02078",0.935173820691316,2.91365154829227,2.72775929924866,1.33301147624535,2.54656113568525,2.81514296539552
"LINC02079",4.21853320747909,5.19883985612627,4.23880214229262,4.09359397836805,4.29578913430512,3.49432599922688
"LINC02080",2.41658035769047,4.24731233862957,4.18440725869306,2.83177187197572,3.84217431759439,4.09935412300214
"LINC02081",1.81336132510539,1.73367929005642,2.39512039645882,1.57072035868778,1.58725456412826,2.07193184317131
"LINC02082",0.317987044776023,0.795200894742928,1.17360079010943,0.624014774981526,0.990432129013797,0.567879312113029
"LINC02085",0.212398757702464,0.736311327901294,0.367508618385483,0.643037891953009,0.924545360621774,0.775305967576077
"LINC02087",4.02149749448136,3.5975669283051,3.33924572553838,3.74945918121505,3.11885305526204,2.59205511970619
"LINC02088",2.45543638420943,2.7808140092968,1.55080710801075,2.37304678907333,2.44270999251443,1.24920866507363
"LINC02089",5.34233072920102,3.94569197029047,3.51386968750884,5.69080537521189,4.20923499525918,4.74810695635111
"LINC02090",0,0,0,0,0,0
"LINC02091",3.59267230419767,3.03483901090567,2.38280003543963,4.28343289136983,3.52486606458593,2.47317905965534
"LINC02092",0.496271102476366,0.246623335274423,0.0411463787174545,1.57173019719321,1.12496331040469,0.899084347155796
"LINC02093",2.51041764217693,2.90591692886707,2.22258820237858,3.51422327685574,3.79878671329432,2.73390527982519
"LINC02095",0,0,1.52973100948912,0,0,1.03758604758546
"LINC02097",0.510624744828012,0.539175688989998,1.36866778988112,1.57095346108922,2.06098465793653,1.93825191215065
"LINC02098",2.40964075534224,0.92557262142523,2.7192798360188,3.91762270172628,2.92525320040415,2.35797419504422
"LINC02099",0.933157898245821,1.8822157532478,1.70376517879341,1.50939080444993,1.86270687797861,1.85479080593534
"LINC02101",2.45044058939442,2.79320921683536,1.63441669592885,2.65634534302503,2.55486876874981,1.11440034315943
"LINC02102",0.762261209394473,1.24749008274361,0.972143406436098,0.700653665048716,0.787439987240805,1.36158309874516
"LINC02103",2.59000551352506,1.73955003011945,0,3.66677931131285,1.81628020994438,2.04555480325151
"LINC02104",0.905454110590261,0.837320831914622,1.70542061528726,0.33905526871472,1.21341572062957,1.83768090985268
"LINC02105",5.41150556465488,4.39239299053986,5.11772745308139,2.92917838493269,3.2762971460288,3.33699027806661
"LINC02106",0,0,0,0,0,0
"LINC02107",2.52810367987725,3.18714696331208,3.48522071315591,2.08566599173979,3.17523715119645,2.51595461307465
"LINC02108",1.48554017732761,4.33882372146778,3.76352843016038,2.24334005049233,3.77518753304709,4.09317139386222
"LINC02109",2.77028145785264,2.49979742446897,2.91163023008105,4.90939390291963,4.19262028140828,3.74533415405126
"LINC02110",1.08466299507757,0.287900134668162,1.34652578881576,2.4037912520029,1.32780806269613,2.10880209658504
"LINC02111",1.91069812889555,0.163827165641596,0.521507099242269,1.59679682780284,0.70953856384176,0.253990476037442
"LINC02112",2.44889566653823,2.91611735908419,3.36863007837053,4.09301923313354,4.57671561296567,4.94114857678358
"LINC02113",1.67311766944582,3.18397870948062,2.75067510088876,1.45509176641418,3.55313928952177,3.04747033550545
"LINC02114",1.72788125627864,1.82362709283577,1.46670019907913,3.36663275371775,2.45126914822548,2.13338597258194
"LINC02115",0.234493962982679,2.78050748486131,2.6498131694573,1.47690526621955,2.41000997407473,3.7083196885516
"LINC02116",0.78281279841225,0,0,0.651366322293999,0.808743362954787,0.714344002286011
"LINC02118",0,1.01095882207224,1.75014339614726,1.40339316862788,2.34400183450181,1.84890631924047
"LINC02119",0.538748717179226,0.747968227971909,1.15111845021412,0.306342743715283,0.450263733377063,0.362808745521802
"LINC02120",0,0.246876241072311,0.483640902355382,0.260537586327726,0,0.924213928171997
"LINC02121",0,0,0,0,0,0
"LINC02123",0,0,0,0.776158746261794,1.16245497714456,1.17196897380424
"LINC02124",0.672925842035712,1.63051264445864,2.15622832472283,2.82846504477713,1.73415248336619,2.88552946247384
"LINC02125",3.0975079840875,4.29071928277095,3.81455042346181,2.28501448871288,3.68550290187773,3.60288440871842
"LINC02126",0,0,0,0.341512169598205,0,0
"LINC02127",5.48691062283447,0.934367034789186,3.53689837023683,7.15825622881134,4.75586499757737,5.10819406269326
"LINC02130",0,0,0,0.279215718376366,0,0
"LINC02133",1.38747283440593,3.14091277765858,2.97015421936737,2.04101863903026,2.97562468400092,3.39921075029486
"LINC02134",1.98179786636185,0.766669785611813,1.84242376497938,3.72845388089425,3.34228449929045,1.72892182728731
"LINC02135",0,0.0640023458744837,0.543587935815763,0.201267495566536,1.04172660358182,0.726244430791119
"LINC02136",0,0.298911644645891,1.17052119218828,0.501085466363311,0.745209790485021,1.23011076648888
"LINC02138",0,0,0.426252944685052,0.142366382047258,0.096846100459414,0
"LINC02139",0.489375433546071,2.48914984017519,2.59195701568247,1.03874519715611,1.89804578616217,2.39582508710831
"LINC02140",6.05980734699137,4.06703546026763,3.89765671374254,5.90439883427266,4.65626524625339,3.9738748119042
"LINC02141",0.23876240692157,0.999172377050479,0.767275961610639,0.41487699052708,1.26168124483959,1.02156500735536
"LINC02143",3.95634479081621,3.21008489386292,4.21516603047024,4.84947391077756,6.3924410770543,6.11739375720765
"LINC02145",0.721917696166576,1.31990112778585,0.969856672646754,1.0095334993773,1.40850535882533,1.18020516035315
"LINC02146",4.65322629590103,3.41384317491262,4.09577254936932,5.29301727204951,3.50648769596131,4.23368869440643
"LINC02147",0.413925474287175,0.308708021608566,0,0.725230725115347,0.648649507207315,0.256323514461423
"LINC02148",5.07887450943556,4.65071861268333,4.46481200663112,3.04039099384093,3.12744013714135,3.33044366822901
"LINC02149",0,0,0,0.287023045239964,0,0
"LINC02150",1.31998780858775,1.31248511584012,1.5441737660648,2.63370321584792,2.05041811100369,2.58527505078831
"LINC02153",1.19084870638902,0.81128852422915,1.90628261200708,2.85795512588111,2.50513128290884,2.40412653838424
"LINC02154",0.462362294736402,1.92783199548022,2.20360524230563,0.403854498974298,1.24193168351973,2.12632534781319
"LINC02155",0.979497129642667,1.75228188756088,3.1072007519867,2.49481751203655,3.34673851900912,2.56447572706124
"LINC02156",4.55058673353567,2.13959391639055,4.17664191765689,6.3089760418687,4.61629299542579,4.82384105411301
