Geneid	Length	genome_mapping/135-P_R1.rn6.sorted.bam
Olr1517	948	0
Olr1537	921	0
Olr1536	930	0
Olr917	936	0
Olr905	939	0
Olr920	920	0
Olr907	936	0
Olr883	934	0
Olr908	953	0
Olr903	936	0
Olr1059	981	0
Olr1052	933	0
Olr1051	936	0
Olr1049	895	0
Olr1029	939	0
Olr936	941	0
Olr943	939	0
Olr947	844	0
Olr950	978	0
Olr1002	939	0
Olr219	924	0
Olr1686	954	0
Olr1702	954	0
Olr526	966	0
Olr530	966	0
Olr555	981	0
Olr684	918	0
Olr1090	957	0
Olr1092	957	0
Olr956	939	0
Olr886	945	0
Olr1540	930	0
Olr736	930	0
Olr921	936	0
Olr932	936	0
Olr937	936	0
Olr1093	957	0
Olr1735	927	1
Olr1736	927	3
Olr1737	927	0
Olr1739	930	0
Olr1742	930	0
Olr1743	942	1
Olr1744	939	0
Olr1746	939	0
Olr1748	939	2
Olr1749	939	0
Gtf2ird1	3110	207
Habp2	2162	0
Mrgprd	960	0
Oit3	2287	0
Plppr4	5551	511
Slc25a47	1550	5
Klhl10	2012	7
Gcnt2	4093	347
Gtf2i	3964	3339
Tnfsf12	1538	513
Ablim2	2684	1008
Lmo7	5190	158
Usp19	4292	1562
Rnf114	2139	894
Sucnr1	952	2
Lcn6	726	0
RT1-M2	1035	4
Elp5	1383	442
Fancd2	4307	325
Vmac	516	81
Tmem35a	1945	755
rnf141	975	849
Akap7	1044	110
Ly6g5b	585	4
Ly6g6c	846	30
Ly6g6d	405	9
Ly6g6e	959	3
Lmna	3112	1711
Clint1	1817	518
Sgce	1481	644
Slco4c1	2175	13
Npc1l1	4469	3
Atp6v0e2	862	1437
Olr79	942	0
Ahi1	3141	1226
Pofut1	1188	242
Rnf166	1755	400
Mrgprx2	885	4
Mas1l	966	2
Mrgprb13	987	0
Mrgprb5	1062	0
Mrgprx2l	945	0
Mrgprc	972	0
Mrgprb4	972	0
Mrgpre	930	79
Fut8	1728	836
Kprp	2815	0
Olr1384	942	0
Top1mt	1887	141
Bace2	1545	596
Btnl3	2175	1
C1rl	1384	85
C4b	5353	140
Capn11	2620	0
Clic1	1187	1872
Cpa5	2073	1
Atf6b	2507	1286
Ctsql2	1278	0
Ece2	3010	535
Spink7	261	0
Fkbpl	1272	158
Gfpt2	2992	228
Ggt6	1497	3
RT1-T18	1097	1
Cchcr1	2276	235
Wnk1	10755	6814
